nombre,escudo,liga,sexo,entrenador,piscina,ciudad
C. ENCINAS DE BOADILLA,https://cdn.leverade.com/thumbnails/AaE3gYd53IRn.30x30.jpg,Clasificación de 24/25 Primera División Masculina,Masculino,Carlos de la Tur,Piscina Municipal de Boadilla,Boadilla del Monte
C.N. SANT FELIU,https://cdn.leverade.com/thumbnails/AaxB1wXHh0jR.30x30.jpg,Clasificación de 24/25 Primera División Masculina,Masculino,Jordi Millán,Complex Esportiu Municipal,Sant Feliu de Llobregat
C.N. PREMIA,https://cdn.leverade.com/thumbnails/AambWQWarWO7.30x30.jpg,Clasificación de 24/25 Primera División Masculina,Masculino,Xavi Julià,Piscina Municipal de Premià,Premià de Mar
U.E. HORTA-HAXELIA,https://cdn.leverade.com/thumbnails/AaXVvqQxyyYv.30x30.jpg,Clasificación de 24/25 Primera División Masculina,Masculino,Pau Brias,Instal·lacions U.E. Horta,Barcelona
C. WATERPOLO SEVILLA,https://cdn.leverade.com/thumbnails/Aa2grZS2bptE.30x30.jpg,Clasificación de 24/25 Primera División Masculina,Masculino,Daniel García,C.D.M. Hytasa,Sevilla
C.D. WATERPOLO TURIA,https://cdn.leverade.com/thumbnails/rfen_18150aee.30x30.jpg,Clasificación de 24/25 Primera División Masculina,Masculino,Vicente Furió,Polideportivo Municipal Nazaret,Valencia
C.N. MONTJUIC,https://cdn.leverade.com/thumbnails/Aas8qqUH0EKr.30x30.jpg,Clasificación de 24/25 Primera División Masculina,Masculino,Alfons Cánovas,Piscina C.N. Montjuïc,Barcelona
C.N. GRANOLLERS,https://cdn.leverade.com/thumbnails/Aa1EUp9mTRKN.30x30.jpg,Clasificación de 24/25 Primera División Masculina,Masculino,Tomas Bruder,Piscina Municipal de Granollers,Granollers
C.N. LAS PALMAS,https://cdn.leverade.com/thumbnails/Aahb2gONT7op.30x30.jpg,Clasificación de 24/25 Primera División Masculina,Masculino,Fran Baute,Piscina Julio Navarro,Las Palmas de G.C.
C.N. HELIOS,https://cdn.leverade.com/thumbnails/rfen_4328978f.30x30.jpg,Clasificación de 24/25 Primera División Masculina,Masculino,Álvaro Moracho,C.N. Helios,Zaragoza
C.N. MOLINS DE REI,https://cdn.leverade.com/thumbnails/rfen_489c77f8.30x30.jpg,Clasificación de 24/25 Primera División Masculina,Masculino,Sergi Pedrerol,Piscina Municipal de Molins,Molins de Rei
C. ASKARTZA,https://cdn.leverade.com/thumbnails/AaTok6Gimkng.30x30.jpg,Clasificación de 24/25 Primera División Masculina,Masculino,Javi Cortés,Colegio Askartza Claret,Leioa
TENERIFE ECHEYDE TIMBEQUE,https://cdn.leverade.com/thumbnails/AamYuHHJMi57.30x30.jpg,Clasificación de 24/25 Primera División Masculina,Masculino,Marc Salvador,Piscina Municipal Acidalio Lorenzo,Santa Cruz de Tenerife
C.D. WATERPOLO NAVARRA,https://cdn.leverade.com/thumbnails/AaaynAhfPWss.30x30.jpg,Clasificación de 24/25 Primera División Masculina,Masculino,Manel Silvestre,C.D. Amaya,Pamplona
